iter	RMSE
0	14.07617625
1	13.20894485
2	12.36988212
3	11.6555553
4	10.98168564
5	10.3967095
6	9.910059782
7	9.416614954
8	9.019347819
9	8.673874636
10	8.318293759
11	8.019192228
12	7.735400433
13	7.482839462
14	7.221692835
15	7.007877271
16	6.815407254
17	6.647460041
18	6.50260653
19	6.381816306
20	6.257994803
21	6.175744304
22	6.094848554
23	6.02112406
24	5.953347287
25	5.903408962
26	5.850739471
27	5.79148459
28	5.741389865
29	5.694205113
30	5.649805134
31	5.608558372
32	5.572136742
33	5.551360401
34	5.521952213
35	5.492946767
36	5.462252266
37	5.441866016
38	5.42686247
39	5.405566603
40	5.392344737
41	5.366008438
42	5.342224063
43	5.322234967
44	5.310836925
45	5.290209226
46	5.279045715
47	5.263136935
48	5.247090681
49	5.233046942
50	5.21924022
51	5.209364177
52	5.201617225
53	5.192067539
54	5.181071467
55	5.175892295
56	5.168856872
57	5.162165888
58	5.152882406
59	5.143197012
60	5.136196357
61	5.12708639
62	5.115649148
63	5.106857603
64	5.095067849
65	5.083676398
66	5.075296846
67	5.059802044
68	5.050656777
69	5.043530223
70	5.036125943
71	5.031041503
72	5.025563272
73	5.020461671
74	5.01288113
75	5.000119066
76	4.98987081
77	4.984850192
78	4.96280467
79	4.957794305
80	4.948365911
81	4.944356449
82	4.936221184
83	4.931707806
84	4.923220039
85	4.918567651
86	4.912503541
87	4.902892752
88	4.896877185
89	4.890661265
90	4.884554331
91	4.868829031
92	4.864279852
93	4.854457702
94	4.852218611
95	4.8480072
96	4.842367141
97	4.838352373
98	4.834010646
99	4.828776038
