iter	Passed	Remaining
0	138	13720
1	140	6869
2	141	4589
3	143	3436
4	144	2746
5	145	2282
6	146	1948
7	147	1694
8	148	1497
9	148	1339
10	149	1211
11	150	1104
12	151	1013
13	152	934
14	152	866
15	153	806
16	154	753
17	154	705
18	155	662
19	156	624
20	156	589
21	157	558
22	158	529
23	158	502
24	159	478
25	160	455
26	160	434
27	161	415
28	162	396
29	162	379
30	163	363
31	164	349
32	166	337
33	167	325
34	169	314
35	170	303
36	171	292
37	173	283
38	175	273
39	176	264
40	176	254
41	177	245
42	178	236
43	179	228
44	180	220
45	181	213
46	182	205
47	183	198
48	184	191
49	185	185
50	186	178
51	187	172
52	187	166
53	188	160
54	189	155
55	190	149
56	191	144
57	192	139
58	193	134
59	194	129
60	194	124
61	195	120
62	196	115
63	197	111
64	198	106
65	199	102
66	200	98
67	201	94
68	201	90
69	202	86
70	203	83
71	204	79
72	204	75
73	205	72
74	205	68
75	206	65
76	206	61
77	207	58
78	207	55
79	208	52
80	209	49
81	209	46
82	210	43
83	210	40
84	211	37
85	211	34
86	212	31
87	212	29
88	213	26
89	213	23
90	214	21
91	215	18
92	215	16
93	216	13
94	216	11
95	217	9
96	217	6
97	218	4
98	218	2
99	219	0
